HH20190819
DD7808012000001       Kim1                                                Hong1                                               1
DD7808012000002       Kim1                                                Hong1                                               1
DD7808012000003       Kim2                                                Hong2                                               1
DD7808012000004       Kim3                                                Hong3                                               1
DD7808012000005       Kim4                                                Hong4                                               1
DD7808012000006       Kim5                                                Hong5                                               1
DD7808012000007       Kim6                                                Hong6                                               1
DD7808012000008       Kim7                                                Hong7                                               1
DD7808012000009       Kim8                                                Hong8                                               1
DD7808012000010       Kim9                                                Hong9                                               1
TT   10
